epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.534,3.03502,3.349,4.08141,0.00321,0.83616,0.04553,0.01936,3.071,3.65184,4.14454,0.000652778,0.000652778,0.000652778
2,666.568,2.36503,3.24033,3.38088,0.00351,0.87571,0.02592,0.01119,2.98608,3.54781,4.10865,0.00120069,0.00120069,0.00120069
3,2882.61,2.01286,2.39179,2.9363,0.00018,0.0565,0.0001,1e-05,4.55628,413.209,9.3785,0.00162861,0.00162861,0.00162861
4,3166,1.70115,1.86846,2.55191,0.48796,0.18079,0.16691,0.06079,4.06253,3.63668,3.78074,0.00146,0.00146,0.00146
5,3480.43,1.47066,1.50757,2.31648,0.64583,0.55932,0.57389,0.2404,2.35946,2.36735,2.97996,0.00128,0.00128,0.00128
6,3802.39,1.29873,1.24036,2.16158,0.90983,0.85507,0.95513,0.54914,2.01979,1.22387,2.71621,0.0011,0.0011,0.0011
7,4129.67,1.19575,1.10859,2.0148,0.9448,0.87028,0.96718,0.69733,1.37409,1.11246,2.04466,0.00092,0.00092,0.00092
8,4479.23,1.05351,0.96884,1.85984,0.92579,0.9887,0.98875,0.64327,1.18996,1.02315,1.99454,0.00074,0.00074,0.00074
9,4825.56,0.98264,0.85281,1.78034,0.96612,0.9887,0.99209,0.81498,0.80957,0.72762,1.65876,0.00056,0.00056,0.00056
10,5160.79,0.88319,0.78771,1.68591,0.9562,0.99435,0.98432,0.79616,0.87816,0.74246,1.68894,0.00038,0.00038,0.00038
11,6043.02,0.8205,0.73036,1.63004,0.98324,1,0.99166,0.82999,0.75221,0.65957,1.61267,0.0002,0.0002,0.0002
