epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.607,3.06406,3.79826,4.2646,0.00245,0.64103,0.00773,0.00264,2.70334,4.18644,4.1587,0.00014,0.00014,0.00014
2,450.358,2.99263,3.71878,4.18212,0.00245,0.64103,0.00841,0.00309,2.7106,4.18634,4.1556,0.00029703,0.00029703,0.00029703
3,656.85,2.99011,3.47904,4.05886,0.00255,0.66667,0.006,0.00208,2.71987,4.17492,4.15274,0.000450892,0.000450892,0.000450892
4,849.592,2.95494,3.04838,3.82045,0.00245,0.64103,0.02446,0.00711,2.72424,4.16252,4.16148,0.000601586,0.000601586,0.000601586
5,1056.51,2.76388,2.64871,3.5439,0.00235,0.61538,0.00412,0.00152,2.7133,4.08884,4.19312,0.000749112,0.000749112,0.000749112
6,1246.82,2.55439,2.44123,3.32018,0.00245,0.64103,0.00468,0.00155,2.68155,4.01719,4.2339,0.00089347,0.00089347,0.00089347
7,1431.73,2.25275,2.18955,3.03389,0.00255,0.66667,0.00708,0.00227,2.76059,3.94217,4.16838,0.00103466,0.00103466,0.00103466
8,1695.18,2.00443,2.00113,2.8321,0.00216,0.5641,0.00532,0.0019,2.75465,3.89179,4.0921,0.00117268,0.00117268,0.00117268
9,1995.24,1.88265,1.80459,2.6778,0.25811,0.15385,0.08644,0.03819,2.67323,3.65499,3.75802,0.00130754,0.00130754,0.00130754
10,2156.03,1.76093,1.6107,2.44634,0.60023,0.23077,0.26975,0.11804,2.49572,3.27516,3.37969,0.00143922,0.00143922,0.00143922
11,2325.77,1.57314,1.48601,2.30548,0.64029,0.31981,0.4662,0.22456,2.05164,2.87888,2.95799,0.00156774,0.00156774,0.00156774
12,2491.08,1.45553,1.29868,2.1884,0.55598,0.48718,0.48767,0.21722,2.0259,2.59116,2.76325,0.00169309,0.00169309,0.00169309
