epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.241,3.0288,3.78674,4.17651,0.00259,0.77778,0.0102,0.00291,2.63549,3.93498,4.15148,0.00034,0.00034,0.00034
2,502.848,2.97761,3.20497,3.84729,0.00222,0.66667,0.04672,0.01233,2.78804,4.35664,3.89845,0.00069307,0.00069307,0.00069307
3,699.978,2.66409,2.62835,3.42696,0.11474,0.33333,0.07649,0.02151,2.70563,5.20792,9.8679,0.00103901,0.00103901,0.00103901
4,921.689,2.33819,2.12988,3.11801,0.0867,0.11111,0.02329,0.01038,3.45784,9.18094,47.4428,0.00137783,0.00137783,0.00137783
5,1110,2.13304,2.04303,2.90402,0,0,0,0,4.47385,5.92495,15.1475,0.00170951,0.00170951,0.00170951
6,1324.58,2.03531,1.88958,2.77891,0.00038,0.11111,0.00023,2e-05,4.33578,8.56954,9.09639,0.001901,0.001901,0.001901
7,1545.29,1.8878,1.67823,2.66834,0.00124,0.33333,0.00088,0.00032,2.90536,5.57508,5.37704,0.0018812,0.0018812,0.0018812
8,1738.87,1.77604,1.59109,2.50258,0.16435,0.22222,0.04813,0.03122,2.94712,4.40632,3.56115,0.0018614,0.0018614,0.0018614
9,1931.84,1.74727,1.47344,2.42812,0.23876,0.21057,0.19378,0.0745,2.75957,2.74781,3.26968,0.0018416,0.0018416,0.0018416
10,2149.86,1.61352,1.3866,2.34601,0.35284,0.66667,0.56927,0.36675,1.182,8.01653,2.02957,0.0018218,0.0018218,0.0018218
11,2365.06,1.52096,1.26838,2.20917,0.03057,0.77778,0.15223,0.06393,2.46748,3.08801,3.1901,0.001802,0.001802,0.001802
12,2563.06,1.42857,1.16371,2.14405,0.92046,0.22222,0.32975,0.20582,2.36632,3.32371,3.58908,0.0017822,0.0017822,0.0017822
13,2769.52,1.41018,1.17552,2.07731,1,0.87877,0.8982,0.64562,1.24829,1.19294,1.8476,0.0017624,0.0017624,0.0017624
14,2978.04,1.3571,1.06154,1.99739,1,0.98951,0.995,0.64874,1.30932,1.39401,2.17409,0.0017426,0.0017426,0.0017426
15,3198.72,1.29343,1.0281,1.97296,1,0.98697,0.995,0.76579,0.91554,0.84335,1.46172,0.0017228,0.0017228,0.0017228
