epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1898,0.63107,3.28087,1.04108,0.9375,0.39474,0.62312,0.39964,1.08953,6.0763,1.31113,0.00046,0.00046,0.00046
2,19.6235,0.7181,1.55542,1.03082,0.3871,0.31579,0.33281,0.1851,1.27279,10.3952,1.75762,0.00084694,0.00084694,0.00084694
3,23.3146,0.83585,1.46001,1.12057,0.14826,0.18421,0.13565,0.03189,2.68712,5.17706,5.20262,0.00113884,0.00113884,0.00113884
4,27.016,0.77673,1.31679,1.0724,0.03106,0.13158,0.02048,0.00669,2.42595,12.6761,3.36554,0.0013357,0.0013357,0.0013357
5,31.1101,0.79862,1.32821,1.08644,0.00997,0.18421,0.00317,0.00104,3.59289,51.0634,5.2437,0.001208,0.001208,0.001208
6,35.7821,0.68242,1.21932,1.03379,0.06758,0.23684,0.03142,0.0109,2.78028,11.682,5.75409,0.00101,0.00101,0.00101
7,39.3315,0.66746,1.1441,1.02044,0.71194,0.39041,0.45093,0.37794,1.04909,2.20724,1.27996,0.000812,0.000812,0.000812
8,42.9812,0.64347,1.15923,1.05251,0.9242,0.42105,0.60814,0.48375,0.91973,1.46857,1.12231,0.000614,0.000614,0.000614
9,48.4931,0.55098,0.99854,0.9701,0.57914,0.63158,0.7002,0.5758,0.83064,1.1528,1.16696,0.000416,0.000416,0.000416
10,52.2573,0.51116,1.06234,0.95423,0.62657,0.71053,0.7384,0.65116,0.74603,1.02081,1.10259,0.000218,0.000218,0.000218
